,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sales_Price
10,Two_Story_1946_and_Newer,Residential_Low_Density,75.0,10000.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1993.0,1994.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,Typical,Typical,PConc,Good,Typical,No,Unf,7,Unf,0.0,763.0,763.0,GasA,Good,Y,SBrkr,763.0,892.0,0.0,1655.0,0,0,2,1,3,1,Typical,7,Typ,1,Typical,Attchd,Fin,2,440.0,Typical,Typical,Paved,157.0,84.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,4,2010.0,WD ,Normal,-93.636947,42.05848,175900.0
11,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0.0,7980.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Above_Average,Good,1992.0,2007.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,Typical,Good,PConc,Good,Typical,No,ALQ,1,Unf,0.0,233.0,1168.0,GasA,Excellent,Y,SBrkr,1187.0,0.0,0.0,1187.0,1,0,2,0,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,Fin,2,420.0,Typical,Typical,Paved,483.0,21.0,0.0,0.0,0.0,0.0,No_Pool,Good_Privacy,Shed,500.0,3,2010.0,WD ,Normal,-93.635951,42.057419,185000.0
12,Two_Story_1946_and_Newer,Residential_Low_Density,63.0,8402.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1998.0,1998.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,PConc,Good,Typical,No,Unf,7,Unf,0.0,789.0,789.0,GasA,Good,Y,SBrkr,789.0,676.0,0.0,1465.0,0,0,2,1,3,1,Typical,7,Typ,1,Good,Attchd,Fin,2,393.0,Typical,Typical,Paved,0.0,75.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,5,2010.0,WD ,Normal,-93.638647,42.058151,180400.0
13,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85.0,10176.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Good,Average,1990.0,1990.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,Typical,Typical,PConc,Good,Typical,Gd,GLQ,3,Unf,0.0,663.0,1300.0,GasA,Good,Y,SBrkr,1341.0,0.0,0.0,1341.0,1,0,1,1,2,1,Good,5,Typ,1,Poor,Attchd,Unf,2,506.0,Typical,Typical,Paved,192.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,2,2010.0,WD ,Normal,-93.634626,42.057268,171500.0
14,One_Story_PUD_1946_and_Newer,Residential_Low_Density,0.0,6820.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1985.0,1985.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,Good,Typical,PConc,Good,Typical,Av,GLQ,3,BLQ,1120.0,0.0,1488.0,GasA,Typical,Y,SBrkr,1502.0,0.0,0.0,1502.0,1,0,1,1,1,1,Good,4,Typ,0,No_Fireplace,Attchd,RFn,2,528.0,Typical,Typical,Paved,0.0,54.0,0.0,0.0,140.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,WD ,Normal,-93.632913,42.059169,212000.0
15,Two_Story_1946_and_Newer,Residential_Low_Density,47.0,53504.0,Pave,No_Alley_Access,Moderately_Irregular,HLS,AllPub,CulDSac,Mod,Stone_Brook,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2003.0,2003.0,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Excellent,Typical,PConc,Good,Typical,Gd,ALQ,1,Unf,0.0,234.0,1650.0,GasA,Excellent,Y,SBrkr,1690.0,1589.0,0.0,3279.0,1,0,3,1,4,1,Excellent,12,Mod,1,Good,BuiltIn,Fin,3,841.0,Typical,Typical,Paved,503.0,36.0,0.0,0.0,210.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,WD ,Normal,-93.62655,42.061239,538000.0
16,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,152.0,12134.0,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,OneFam,One_and_Half_Fin,Very_Good,Good,1988.0,2005.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Good,Typical,Wood,Good,Typical,Av,GLQ,3,Unf,0.0,132.0,559.0,GasA,Good,Y,SBrkr,1080.0,672.0,0.0,1752.0,0,0,2,0,4,1,Typical,8,Typ,0,No_Fireplace,Basment,RFn,2,492.0,Typical,Typical,Paved,325.0,12.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,WD ,Normal,-93.6235954,42.0603514,164000.0
17,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88.0,11394.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,OneFam,One_Story,Excellent,Poor,2010.0,2010.0,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Good,Typical,PConc,Excellent,Typical,Av,GLQ,3,Unf,0.0,411.0,1856.0,GasA,Excellent,Y,SBrkr,1856.0,0.0,0.0,1856.0,1,0,1,1,1,1,Excellent,8,Typ,1,Excellent,Attchd,Fin,3,834.0,Typical,Typical,Paved,113.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,New,Partial,-93.628804,42.05885,394432.0
18,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,140.0,19138.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Below_Average,Average,1951.0,1951.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,LwQ,4,Unf,0.0,744.0,864.0,GasA,Excellent,Y,SBrkr,864.0,0.0,0.0,864.0,0,0,1,0,2,1,Typical,4,Typ,0,No_Fireplace,Detchd,Unf,2,400.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,WD ,Normal,-93.622971,42.056673,141000.0
19,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85.0,13175.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1978.0,1988.0,Gable,CompShg,Plywood,Plywood,Stone,119.0,Typical,Typical,CBlock,Good,Typical,No,ALQ,1,Rec,163.0,589.0,1542.0,GasA,Typical,Y,SBrkr,2073.0,0.0,0.0,2073.0,1,0,2,0,3,1,Typical,7,Min1,2,Typical,Attchd,Unf,2,500.0,Typical,Typical,Paved,349.0,0.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,2,2010.0,WD ,Normal,-93.636655,42.054453,210000.0
20,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105.0,11751.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1977.0,1977.0,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,Typical,Typical,CBlock,Good,Typical,No,BLQ,2,Unf,0.0,1139.0,1844.0,GasA,Excellent,Y,SBrkr,1844.0,0.0,0.0,1844.0,0,0,2,0,3,1,Typical,7,Typ,1,Typical,Attchd,RFn,2,546.0,Typical,Typical,Paved,0.0,122.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,1,2010.0,COD,Normal,-93.633962,42.050346,190000.0
21,Split_Foyer,Residential_Low_Density,85.0,10625.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,SFoyer,Good,Above_Average,1974.0,1974.0,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,Typical,Typical,CBlock,Good,Typical,Gd,GLQ,3,LwQ,168.0,0.0,1053.0,GasA,Typical,Y,SBrkr,1173.0,0.0,0.0,1173.0,1,0,2,0,3,1,Good,6,Typ,2,Typical,Attchd,RFn,2,528.0,Typical,Typical,Paved,0.0,120.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,1,2010.0,WD ,Family,-93.636372,42.05027,170000.0
22,Two_Story_1946_and_Newer,Floating_Village_Residential,0.0,7500.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Good,Average,2000.0,2000.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0.0,281.0,814.0,GasA,Excellent,Y,SBrkr,814.0,860.0,0.0,1674.0,1,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,RFn,2,663.0,Typical,Typical,Paved,0.0,96.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,1,2010.0,WD ,Normal,-93.639366,42.049297,216000.0
23,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0.0,11241.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Good,1970.0,1970.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0.0,426.0,1004.0,GasA,Excellent,Y,SBrkr,1004.0,0.0,0.0,1004.0,1,0,1,0,2,1,Typical,5,Typ,1,Typical,Attchd,Fin,2,480.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,Shed,700.0,3,2010.0,WD ,Normal,-93.626231,42.055147,149000.0
24,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0.0,12537.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1971.0,2008.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,GLQ,3,Unf,0.0,344.0,1078.0,GasA,Excellent,Y,SBrkr,1078.0,0.0,0.0,1078.0,1,0,1,1,3,1,Typical,6,Typ,1,Fair,Attchd,Fin,2,500.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,4,2010.0,WD ,Normal,-93.626537,42.054592,149900.0
25,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65.0,8450.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1968.0,1968.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,BLQ,2,Unf,0.0,281.0,1056.0,GasA,Excellent,Y,SBrkr,1056.0,0.0,0.0,1056.0,1,0,1,0,3,1,Typical,6,Typ,1,Fair,Attchd,Unf,1,304.0,Typical,Typical,Paved,0.0,85.0,184.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,7,2010.0,WD ,Normal,-93.628806,42.055227,142000.0
26,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70.0,8400.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1970.0,1970.0,Gable,CompShg,Plywood,Plywood,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Rec,78.0,0.0,882.0,GasA,Typical,Y,SBrkr,882.0,0.0,0.0,882.0,1,0,1,0,2,1,Typical,4,Typ,0,No_Fireplace,Attchd,Fin,2,525.0,Typical,Typical,Paved,240.0,0.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,4,2010.0,WD ,Normal,-93.627112,42.053395,126000.0
27,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70.0,10500.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1971.0,1971.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0.0,432.0,864.0,GasA,Typical,Y,SBrkr,864.0,0.0,0.0,864.0,0,0,1,0,3,1,Typical,5,Typ,1,Poor,No_Garage,No_Garage,0,0.0,No_Garage,No_Garage,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,4,2010.0,ConLI,Normal,-93.622769,42.056375,115000.0
28,One_Story_PUD_1946_and_Newer,Residential_High_Density,26.0,5858.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,TwnhsE,One_Story,Good,Average,1999.0,1999.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,Good,Typical,PConc,Good,Typical,No,GLQ,3,BLQ,0.0,354.0,1405.0,GasA,Excellent,Y,SBrkr,1337.0,0.0,0.0,1337.0,1,0,2,0,2,1,Good,5,Typ,1,Fair,Attchd,Fin,2,511.0,Typical,Typical,Paved,203.0,68.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,WD ,Normal,-93.624373,42.055318,184000.0
29,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21.0,1680.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1971.0,1971.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0.0,327.0,483.0,GasA,Typical,Y,SBrkr,483.0,504.0,0.0,987.0,0,0,1,1,2,1,Typical,5,Typ,0,No_Fireplace,Detchd,Unf,1,264.0,Typical,Typical,Paved,275.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,2,2010.0,COD,Normal,-93.627271,42.051835,96000.0
30,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21.0,1680.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Average,Average,1971.0,1971.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0.0,225.0,525.0,GasA,Typical,Y,SBrkr,525.0,567.0,0.0,1092.0,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,Unf,1,320.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,3,2010.0,WD ,Normal,-93.627536,42.051684,105500.0
31,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21.0,1680.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1971.0,1971.0,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0.0,525.0,525.0,GasA,Typical,Y,SBrkr,525.0,567.0,0.0,1092.0,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,Unf,1,264.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,3,2010.0,WD ,Family,-93.62728,42.051685,88000.0
32,One_Story_PUD_1946_and_Newer,Residential_Low_Density,53.0,4043.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northpark_Villa,Norm,Norm,TwnhsE,One_Story,Above_Average,Average,1977.0,1977.0,Gable,CompShg,Plywood,Plywood,None,0.0,Typical,Typical,CBlock,Good,Typical,No,ALQ,1,Unf,0.0,709.0,1069.0,GasA,Typical,Y,SBrkr,1069.0,0.0,0.0,1069.0,0,0,2,0,2,1,Typical,4,Typ,1,Fair,Attchd,RFn,2,440.0,Typical,Typical,Paved,0.0,55.0,0.0,0.0,165.0,0.0,No_Pool,No_Fence,None,0.0,7,2010.0,WD ,Normal,-93.627232,42.049672,127500.0
33,Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24.0,2280.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,Above_Average,1975.0,1975.0,Gable,CompShg,Plywood,Brk Cmn,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0.0,341.0,855.0,GasA,Typical,Y,SBrkr,855.0,601.0,0.0,1456.0,0,0,2,1,3,1,Good,6,Typ,1,Typical,Attchd,Unf,2,440.0,Typical,Typical,Paved,173.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,WD ,Normal,-93.625924,42.050683,149900.0
