,Unnamed: 0,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
59,59,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,507,Subscriber,1998,Male,26.0,2017-10-06
60,60,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,608,Subscriber,1999,Male,27.0,2017-10-05
61,61,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,157,Subscriber,1999,Male,27.0,2019-12-09
62,62,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),28,The Embarcadero at Bryant St,4602,Subscriber,1991,Female,27.0,2017-03-28
63,63,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),9,Broadway at Battery St,181,Subscriber,1967,Male,27.0,2018-11-08
64,64,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,3715,Subscriber,1999,Male,29.0,2019-09-07
65,65,10 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5392,Subscriber,1986,Male,29.0,2019-05-23
66,66,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),28,The Embarcadero at Bryant St,1012,Customer,1991,Female,26.0,2017-08-20
67,67,19 minutes,5,Powell St BART Station (Market St at 5th St),70,Central Ave at Fell St,465,Subscriber,1989,Male,26.0,2019-10-25
68,68,19 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,3009,Subscriber,1992,Female,29.0,2018-09-18
69,69,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),377,Fell St at Stanyan St,5105,Subscriber,1992,Male,26.0,2017-10-13
70,70,38 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5271,Subscriber,1988,Male,27.0,2017-05-20
71,71,9 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5125,Subscriber,1988,Male,27.0,2017-05-28
72,72,13 minutes,5,Powell St BART Station (Market St at 5th St),370,Jones St at Post St,5373,Subscriber,1987,Male,26.0,2017-06-10
73,73,20 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,443,Subscriber,1985,Female,26.0,2018-02-18
74,74,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,1920,Subscriber,1990,Male,26.0,2018-04-01
75,75,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,316,Subscriber,1999,Female,27.0,2018-12-19
76,76,18 minutes,22,Howard St at Beale St,72,Page St at Scott St,5162,Subscriber,1980,Female,27.0,2017-11-28
77,77,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),64,5th St at Brannan St,1299,Subscriber,1996,Male,29.0,2018-10-23
78,78,15 minutes,16,Steuart St at Market St,90,Townsend St at 7th St,1547,Subscriber,1990,Female,27.0,2017-04-28
79,79,14 minutes,16,Steuart St at Market St,90,Townsend St at 7th St,3309,Subscriber,1990,Male,29.0,2019-05-26
80,80,22 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),365,Turk St at Fillmore St,3224,Subscriber,1986,Female,26.0,2018-07-05
81,81,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,4799,Subscriber,1981,Male,29.0,2018-02-22
82,82,4 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5458,Subscriber,1980,Male,26.0,2017-02-19
83,83,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),2568,Customer,1990,Male,27.0,2017-10-09
84,84,79 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2684,Customer,1987,Male,29.0,2018-03-30
85,85,78 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2030,Customer,1987,Male,27.0,2018-12-09
86,86,80 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2086,Customer,1987,Male,27.0,2018-02-16
87,87,5 minutes,5,Powell St BART Station (Market St at 5th St),62,Victoria Manalo Draves Park,1315,Subscriber,1985,Male,27.0,2019-12-05
88,88,6 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,5224,Subscriber,1983,Female,26.0,2017-02-12
89,89,11 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,192,Subscriber,2000,Female,26.0,2019-01-09
90,90,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1159,Subscriber,1986,Female,29.0,2017-11-29
91,91,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1602,Subscriber,1988,Male,26.0,2018-02-14
92,92,22 minutes,21,Montgomery St BART Station (Market St at 2nd St),139,Garfield Square (25th St at Harrison St),4716,Customer,1975,Male,26.0,2019-10-19
93,93,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1465,Subscriber,1999,Female,26.0,2017-12-26
94,94,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,685,Subscriber,1991,Female,29.0,2017-04-23
95,95,10 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,3109,Subscriber,2000,Female,29.0,2019-07-24
96,96,6 minutes,5,Powell St BART Station (Market St at 5th St),88,11th St at Bryant St,4383,Subscriber,1985,Male,29.0,2018-02-06
97,97,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),370,Jones St at Post St,4960,Subscriber,1988,Male,26.0,2019-02-14
98,98,18 minutes,16,Steuart St at Market St,116,Mississippi St at 17th St,5262,Subscriber,1989,Female,26.0,2019-08-28
99,99,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),355,23rd St at Tennessee St,4996,Subscriber,1994,Male,26.0,2019-05-19
100,100,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),77,11th St at Natoma St,4799,Subscriber,1987,Male,29.0,2017-11-17
101,101,10 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,1959,Customer,1990,Male,26.0,2019-11-10
102,102,11 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,5222,Customer,1990,Male,29.0,2019-02-21
103,103,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),60,8th St at Ringold St,5047,Subscriber,1987,Male,26.0,2017-01-27
104,104,10 minutes,81,Berry St at 4th St,345,Hubbell St at 16th St,2499,Subscriber,1988,Male,26.0,2019-04-05
105,105,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),52,McAllister St at Baker St,5518,Subscriber,1993,Male,27.0,2019-07-15
106,106,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,955,Subscriber,1998,Male,26.0,2019-12-13
107,107,5 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,593,Subscriber,2000,Female,27.0,2017-06-18
108,108,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,1514,Subscriber,2000,Male,27.0,2018-04-21
109,109,9 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,5224,Subscriber,1990,Female,26.0,2017-10-01
110,110,8 minutes,5,Powell St BART Station (Market St at 5th St),55,Webster St at Grove St,5528,Subscriber,1996,Male,26.0,2019-03-06
111,111,9 minutes,5,Powell St BART Station (Market St at 5th St),76,McCoppin St at Valencia St,4574,Subscriber,1977,Male,26.0,2017-09-13
112,112,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,2152,Subscriber,2000,Male,27.0,2017-06-22
113,113,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,5070,Subscriber,1987,Male,29.0,2018-11-18
114,114,19 minutes,3,Powell St BART Station (Market St at 4th St),121,Mission Playground,3491,Subscriber,1961,Male,27.0,2019-05-31
115,115,4 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,223,Subscriber,1988,Male,27.0,2019-06-13
116,116,3 minutes,3,Powell St BART Station (Market St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),2568,Subscriber,1988,Male,27.0,2018-03-13
117,117,8 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,5474,Subscriber,1997,Female,27.0,2018-09-09
118,118,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,5245,Subscriber,1989,Male,26.0,2018-09-17
119,119,19 minutes,16,Steuart St at Market St,85,Church St at Duboce Ave,4814,Subscriber,1970,Male,27.0,2018-05-10
120,120,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,5546,Customer,1977,Female,26.0,2017-03-09
121,121,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),72,Page St at Scott St,1122,Subscriber,1979,Male,29.0,2019-11-18
122,122,27 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,5294,Subscriber,1983,Female,27.0,2017-07-13
123,123,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),23,The Embarcadero at Steuart St,4924,Subscriber,1992,Male,27.0,2019-01-22
124,124,16 minutes,22,Howard St at Beale St,125,20th St at Bryant St,4942,Customer,1958,Male,26.0,2018-03-11
125,125,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,5253,Subscriber,1981,Male,26.0,2019-09-15
126,126,10 minutes,81,Berry St at 4th St,321,5th St at Folsom,4832,Customer,1996,Male,29.0,2018-09-26
127,127,25 minutes,3,Powell St BART Station (Market St at 4th St),134,Valencia St at 24th St,2738,Subscriber,1986,Female,26.0,2019-08-12
128,128,9 minutes,5,Powell St BART Station (Market St at 5th St),73,Pierce St at Haight St,4414,Subscriber,1995,Female,27.0,2019-03-15
129,129,11 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,5427,Subscriber,1969,Male,27.0,2018-05-18
130,130,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),75,Market St at Franklin St,6235,Subscriber,1986,Male,26.0,2017-08-19
131,131,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5570,Subscriber,1962,Other,26.0,2019-08-29
132,132,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5328,Subscriber,1989,Female,29.0,2019-05-04
133,133,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,5571,Subscriber,1988,Male,26.0,2018-10-17
134,134,16 minutes,22,Howard St at Beale St,115,Jackson Playground,5332,Customer,1982,Male,26.0,2019-10-22
135,135,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4574,Subscriber,1979,Male,26.0,2018-01-26
136,136,14 minutes,22,Howard St at Beale St,114,Rhode Island St at 17th St,5445,Subscriber,1994,Male,29.0,2020-01-14
137,137,10 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,4413,Subscriber,1978,Male,26.0,2019-01-28
138,138,9 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,5392,Subscriber,1988,Male,29.0,2017-11-06
139,139,17 minutes,22,Howard St at Beale St,356,Valencia St at Clinton Park,5325,Subscriber,1995,Male,26.0,2017-10-01
140,140,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),58,Market St at 10th St,5222,Subscriber,1995,Male,29.0,2019-12-29
141,141,24 minutes,21,Montgomery St BART Station (Market St at 2nd St),21,Montgomery St BART Station (Market St at 2nd St),5353,Subscriber,1965,Male,27.0,2019-09-23
142,142,8 minutes,5,Powell St BART Station (Market St at 5th St),74,Laguna St at Hayes St,4968,Subscriber,1993,Female,27.0,2019-03-22
143,143,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,5526,Subscriber,1975,Male,27.0,2018-09-05
144,144,18 minutes,21,Montgomery St BART Station (Market St at 2nd St),134,Valencia St at 24th St,5485,Subscriber,1986,Other,26.0,2017-10-13
145,145,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,3397,Subscriber,1992,Female,26.0,2019-09-02
146,146,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,4728,Subscriber,1991,Female,27.0,2019-12-09
147,147,14 minutes,5,Powell St BART Station (Market St at 5th St),126,Esprit Park,1338,Subscriber,1984,Male,26.0,2018-09-24
148,148,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),86,Market St at Dolores St,4426,Subscriber,1987,Male,27.0,2018-08-23
149,149,17 minutes,3,Powell St BART Station (Market St at 4th St),85,Church St at Duboce Ave,149,Customer,1984,Male,27.0,2017-11-20
150,150,5 minutes,16,Steuart St at Market St,10,Washington St at Kearny St,3554,Subscriber,1989,Male,27.0,2018-01-10
151,151,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4319,Subscriber,1992,Male,26.0,2019-03-10
152,152,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,5494,Subscriber,1994,Male,26.0,2019-03-20
153,153,32 minutes,21,Montgomery St BART Station (Market St at 2nd St),4,Cyril Magnin St at Ellis St,5027,Subscriber,1975,Male,26.0,2018-12-15
154,154,10 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,5229,Subscriber,1991,Male,26.0,2017-12-21
155,155,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),136,23rd St at San Bruno Ave,5574,Subscriber,1980,Female,27.0,2017-06-20
156,156,11 minutes,3,Powell St BART Station (Market St at 4th St),364,China Basin St at 3rd St,4748,Customer,1996,Male,27.0,2019-08-29
157,157,6 minutes,81,Berry St at 4th St,49,S Park St at 3rd St,3711,Subscriber,1978,Male,26.0,2019-09-24
158,158,6 minutes,16,Steuart St at Market St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6235,Subscriber,1967,Male,26.0,2017-12-11
159,159,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,967,Subscriber,1983,Male,26.0,2018-11-25
160,160,21 minutes,81,Berry St at 4th St,55,Webster St at Grove St,4969,Subscriber,1969,Female,27.0,2017-01-28
161,161,7 minutes,5,Powell St BART Station (Market St at 5th St),43,San Francisco Public Library (Grove St at Hyde St),5530,Subscriber,1990,Female,26.0,2017-03-19
162,162,18 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,5535,Subscriber,1993,Male,29.0,2017-06-16
163,163,19 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,4344,Subscriber,1991,Female,26.0,2017-07-12
164,164,13 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,3616,Subscriber,1991,Male,26.0,2019-05-18
165,165,10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),3108,Subscriber,1992,Male,26.0,2020-01-09
166,166,1 minutes,3,Powell St BART Station (Market St at 4th St),3,Powell St BART Station (Market St at 4th St),4319,Subscriber,1991,Male,26.0,2019-01-22
167,167,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4968,Subscriber,1993,Female,27.0,2018-05-18
168,168,3 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,1718,Subscriber,1986,Male,26.0,2017-05-28
169,169,8 minutes,22,Howard St at Beale St,4,Cyril Magnin St at Ellis St,1475,Subscriber,1994,Other,26.0,2018-09-28
170,170,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5253,Subscriber,1988,Other,26.0,2018-07-11
171,171,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5114,Customer,1993,Male,26.0,2018-01-20
172,172,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,3432,Subscriber,1988,Male,29.0,2019-05-06
173,173,12 minutes,5,Powell St BART Station (Market St at 5th St),53,Grove St at Divisadero,4778,Subscriber,1994,Male,26.0,2018-01-20
174,174,9 minutes,81,Berry St at 4th St,3,Powell St BART Station (Market St at 4th St),2738,Subscriber,1993,Female,26.0,2018-07-11
175,175,12 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,1565,Customer,1992,Female,29.0,2018-03-31
176,176,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),11,Davis St at Jackson St,5307,Subscriber,1987,Female,27.0,2017-12-09
177,177,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),55,Webster St at Grove St,4953,Subscriber,1992,Female,26.0,2018-04-25
178,178,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),74,Laguna St at Hayes St,4347,Customer,1988,Male,29.0,2017-07-16
179,179,8 minutes,22,Howard St at Beale St,323,Broadway at Kearny,5359,Subscriber,1985,Male,26.0,2017-02-21
180,180,18 minutes,5,Powell St BART Station (Market St at 5th St),109,17th St at Valencia St,4320,Subscriber,1980,Male,27.0,2018-12-19
181,181,11 minutes,22,Howard St at Beale St,104,4th St at 16th St,2473,Subscriber,1982,Male,26.0,2019-03-02
182,182,6 minutes,22,Howard St at Beale St,47,4th St at Harrison St,3225,Subscriber,1986,Male,26.0,2018-12-17
183,183,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),100,Bryant St at 15th St,4658,Subscriber,1989,Male,26.0,2018-09-20
184,184,19 minutes,5,Powell St BART Station (Market St at 5th St),144,Precita Park,4553,Subscriber,1994,Female,26.0,2017-08-23
185,185,19 minutes,22,Howard St at Beale St,116,Mississippi St at 17th St,2564,Subscriber,1970,Male,27.0,2019-07-15
186,186,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),284,Yerba Buena Center for the Arts (Howard St at 3rd St),4982,Subscriber,1985,Female,27.0,2017-11-21
187,187,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),26,1st St at Folsom St,5110,Subscriber,1948,Male,26.0,2019-06-18
188,188,2 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,5549,Subscriber,1993,Male,27.0,2018-06-25
189,189,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,411,Subscriber,1989,Male,27.0,2018-06-12
190,190,18 minutes,22,Howard St at Beale St,115,Jackson Playground,5407,Subscriber,1986,Male,26.0,2018-11-01
191,191,15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),87,Folsom St at 13th St,5282,Customer,1990,Male,27.0,2019-10-15
192,192,10 minutes,22,Howard St at Beale St,66,3rd St at Townsend St,5438,Customer,1990,Female,27.0,2017-07-24
193,193,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),62,Victoria Manalo Draves Park,5381,Subscriber,1990,Female,29.0,2017-12-05
194,194,6 minutes,3,Powell St BART Station (Market St at 4th St),42,San Francisco City Hall (Polk St at Grove St),2550,Subscriber,1979,Male,26.0,2018-12-23
195,195,5 minutes,16,Steuart St at Market St,27,Beale St at Harrison St,643,Subscriber,1981,Male,27.0,2018-09-13
196,196,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),76,McCoppin St at Valencia St,4609,Subscriber,1993,Male,27.0,2019-08-05
197,197,17 minutes,5,Powell St BART Station (Market St at 5th St),142,Guerrero Park,4928,Subscriber,1993,Male,27.0,2018-04-08
